ticker,final_score,trade_action,raw_score,options_score,ivp,vrp,ivp_score,vrp_score,phi_score,psi_score,si_avoidance_score,put_skew_penalty,scoring_date,signal_version,regime,regime_gate
FBIO,21.185,WATCH,42.37,42.37,30.508474576271187,25.899174484264293,28.57,42.37,28.57,42.37,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
FBRX,29.66,WATCH,59.32,59.32,70.27027027027027,54.452288913528605,70.46,59.32,70.46,59.32,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
FDMT,14.62,AVOID,29.24,29.24,27.11864406779661,3.771812788536664,25.0,29.24,25.0,29.24,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
FLGT,0.0,AVOID,0.0,0.0,61.01694915254237,-123.54661756778398,60.71,0.0,60.71,0.0,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
FOLD,15.515,WATCH,31.03,31.03,8.47457627118644,6.7874730286586775,5.36,31.03,5.36,31.03,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
FTRE,16.93,WATCH,33.86,33.86,88.13559322033898,11.54942992608686,89.29,33.86,89.29,33.86,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
FULC,13.36,AVOID,26.72,26.72,35.59322033898305,-0.4792091814701109,33.93,26.72,33.93,26.72,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
GANX,5.27,AVOID,10.54,10.54,0.0,-27.740859064921665,0.0,10.54,0.0,10.54,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
GENB,25.0,WATCH,50.0,50.0,,,,,50.0,50.0,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
GERN,20.37,WATCH,40.74,40.74,86.4406779661017,23.155018548639305,87.5,40.74,87.5,40.74,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
GHRS,31.33,BUY,62.66,62.66,49.15254237288136,60.07747772303695,48.21,62.66,48.21,62.66,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
GILD,11.105,AVOID,22.21,22.21,40.67796610169492,-8.076117811239389,39.29,22.21,39.29,22.21,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
GLPG,25.0,WATCH,50.0,50.0,,,,,50.0,50.0,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
GLSI,25.0,WATCH,50.0,50.0,,,,,50.0,50.0,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
